id,distractor,subject,verb,interference,grammaticality,sentence,crit,target,attractor
5,pl,pl,pl,int,gram,The authors who the librarians recommend for summer reading are very popular in India.,recommend,librarians,authors
5,sing,pl,sing,int,ungram,The author who the librarians recommends for summer reading is very popular in India.,recommends,librarians,author
5,pl,pl,sing,unint,ungram,The authors who the librarians recommends for summer reading are very popular in India.,recommends,librarians,authors
6,sing,sing,sing,int,gram,The pilot who the smuggler employs in Brazil must be discreet and good at thinking fast.,employs,smuggler,pilot
6,pl,sing,sing,unint,gram,The pilots who the smuggler employs in Brazil must be discreet and good at thinking fast.,employs,smuggler,pilots
6,sing,sing,pl,unint,ungram,The pilot who the smuggler employ in Brazil must be discreet and good at thinking fast.,employ,smuggler,pilot
6,pl,sing,pl,int,ungram,The pilots who the smuggler employ in Brazil must be discreet and good at thinking fast.,employ,smuggler,pilots
6,sing,pl,pl,unint,gram,The pilot who the smugglers employ in Brazil must be discreet and good at thinking fast.,employ,smugglers,pilot
6,pl,pl,pl,int,gram,The pilots who the smugglers employ in Brazil must be discreet and good at thinking fast.,employ,smugglers,pilots
6,sing,pl,sing,int,ungram,The pilot who the smugglers employs in Brazil must be discreet and good at thinking fast.,employs,smugglers,pilot
6,pl,pl,sing,unint,ungram,The pilots who the smugglers employs in Brazil must be discreet and good at thinking fast.,employs,smugglers,pilots
7,sing,sing,sing,int,gram,The colleague who the researcher spends the most time with comes up with crazy but inventive ideas.,spends,researcher,colleague
7,pl,sing,sing,unint,gram,The colleagues who the researcher spends the most time with come up with crazy but inventive ideas.,spends,researcher,colleagues
7,sing,sing,pl,unint,ungram,The colleague who the researcher spend the most time with comes up with crazy but inventive ideas.,spend,researcher,colleague
7,pl,sing,pl,int,ungram,The colleagues who the researcher spend the most time with come up with crazy but inventive ideas.,spend,researcher,colleagues
7,sing,pl,pl,unint,gram,The colleague who the researchers spend the most time with comes up with crazy but inventive ideas.,spend,researchers,colleague
7,pl,pl,pl,int,gram,The colleagues who the researchers spend the most time with come up with crazy but inventive ideas.,spend,researchers,colleagues
7,sing,pl,sing,int,ungram,The colleague who the researchers spends the most time with comes up with crazy but inventive ideas.,spends,researchers,colleague
7,pl,pl,sing,unint,ungram,The colleagues who the researchers spends the most time with come up with crazy but inventive ideas.,spends,researchers,colleagues
8,sing,sing,sing,int,gram,The patient who the doctor checks on daily is undergoing an experimental treatment.,checks,doctor,patient
8,pl,sing,sing,unint,gram,The patients who the doctor checks on daily are undergoing an experimental treatment.,checks,doctor,patients
8,sing,sing,pl,unint,ungram,The patient who the doctor check on daily is undergoing an experimental treatment.,check,doctor,patient
8,pl,sing,pl,int,ungram,The patients who the doctor check on daily are undergoing an experimental treatment.,check,doctor,patients
8,sing,pl,pl,unint,gram,The patient who the doctors check on daily is undergoing an experimental treatment.,check,doctors,patient
8,pl,pl,pl,int,gram,The patients who the doctors check on daily are undergoing an experimental treatment.,check,doctors,patients
8,sing,pl,sing,int,ungram,The patient who the doctors checks on daily is undergoing an experimental treatment.,checks,doctors,patient
8,pl,pl,sing,unint,ungram,The patients who the doctors checks on daily are undergoing an experimental treatment.,checks,doctors,patients
9,sing,sing,sing,int,gram,The Marine who the officer wants to promote is always ready to risk his life for someone in need.,wants,officer,Marine
9,pl,sing,sing,unint,gram,The Marines who the officer wants to promote are always ready to risk their lives for someone in need.,wants,officer,Marines
9,sing,sing,pl,unint,ungram,The Marine who the officer want to promote is always ready to risk his life for someone in need.,want,officer,Marine
9,pl,sing,pl,int,ungram,The Marines who the officer want to promote are always ready to risk their lives for someone in need.,want,officer,Marines
9,sing,pl,pl,unint,gram,The Marine who the officers want to promote is always ready to risk his life for someone in need.,want,officers,Marine
9,pl,pl,pl,int,gram,The Marines who the officers want to promote are always ready to risk their lives for someone in need.,want,officers,Marines
9,sing,pl,sing,int,ungram,The Marine who the officers wants to promote is always ready to risk his life for someone in need.,wants,officers,Marine
9,pl,pl,sing,unint,ungram,The Marines who the officers wants to promote are always ready to risk their lives for someone in need.,wants,officers,Marines
10,sing,sing,sing,int,gram,The sculptor who the donor supports so generously has held several acclaimed exhibitions.,supports,donor,sculptor
10,pl,sing,sing,unint,gram,The sculptors who the donor supports so generously have held several acclaimed exhibitions.,supports,donor,sculptors
10,sing,sing,pl,unint,ungram,The sculptor who the donor support so generously has held several acclaimed exhibitions.,support,donor,sculptor
10,pl,sing,pl,int,ungram,The sculptors who the donor support so generously have held several acclaimed exhibitions.,support,donor,sculptors
10,sing,pl,pl,unint,gram,The sculptor who the donors support so generously has held several acclaimed exhibitions.,support,donors,sculptor
10,pl,pl,pl,int,gram,The sculptors who the donors support so generously have held several acclaimed exhibitions.,support,donors,sculptors
10,sing,pl,sing,int,ungram,The sculptor who the donors supports so generously has held several acclaimed exhibitions.,supports,donors,sculptor
10,pl,pl,sing,unint,ungram,The sculptors who the donors supports so generously have held several acclaimed exhibitions.,supports,donors,sculptors
11,sing,sing,sing,int,gram,The caterer who the hostess suggests to her friends is excellent but outrageously expensive.,suggests,hostess,caterer
11,pl,sing,sing,unint,gram,The caterers who the hostess suggests to her friends are excellent but outrageously expensive.,suggests,hostess,caterers
11,sing,sing,pl,unint,ungram,The caterer who the hostess suggest to her friends is excellent but outrageously expensive.,suggest,hostess,caterer
11,pl,sing,pl,int,ungram,The caterers who the hostess suggest to her friends are excellent but outrageously expensive.,suggest,hostess,caterers
11,sing,pl,pl,unint,gram,The caterer who the hostesses suggest to their friends is excellent but outrageously expensive.,suggest,hostesses,caterer
11,pl,pl,pl,int,gram,The caterers who the hostesses suggest to their friends are excellent but outrageously expensive.,suggest,hostesses,caterers
11,sing,pl,sing,int,ungram,The caterer who the hostesses suggests to their friends is excellent but outrageously expensive.,suggests,hostesses,caterer
11,pl,pl,sing,unint,ungram,The caterers who the hostesses suggests to their friends are excellent but outrageously expensive.,suggests,hostesses,caterers
12,sing,sing,sing,int,gram,The senator who the voter listens to patiently at all the local political events just never seems trustworthy.,listens,voter,senator
12,pl,sing,sing,unint,gram,The senators who the voter listens to patiently at all the local political events just never seem trustworthy.,listens,voter,senators
12,sing,sing,pl,unint,ungram,The senator who the voter listen to patiently at all the local political events just never seems trustworthy.,listen,voter,senator
12,pl,sing,pl,int,ungram,The senators who the voter listen to patiently at all the local political events just never seem trustworthy.,listen,voter,senators
12,sing,pl,pl,unint,gram,The senator who the voters listen to patiently at all the local political events just never seems trustworthy.,listen,voters,senator
12,pl,pl,pl,int,gram,The senators who the voters listen to patiently at all the local political events just never seem trustworthy.,listen,voters,senators
12,sing,pl,sing,int,ungram,The senator who the voters listens to patiently at all the local political events just never seems trustworthy.,listens,voters,senator
12,pl,pl,sing,unint,ungram,The senators who the voters listens to patiently at all the local political events just never seem trustworthy.,listens,voters,senators
13,sing,sing,sing,int,gram,The teenager who the farmer hires to pick fruit every summer usually works pretty hard.,hires,farmer,teenager
13,pl,sing,sing,unint,gram,The teenagers who the farmer hires to pick fruit every summer usually work pretty hard.,hires,farmer,teenagers
13,sing,sing,pl,unint,ungram,The teenager who the farmer hire to pick fruit every summer usually works pretty hard.,hire,farmer,teenager
13,pl,sing,pl,int,ungram,The teenagers who the farmer hire to pick fruit every summer usually work pretty hard.,hire,farmer,teenagers
13,sing,pl,pl,unint,gram,The teenager who the farmers hire to pick fruit every summer usually works pretty hard.,hire,farmers,teenager
13,pl,pl,pl,int,gram,The teenagers who the farmers hire to pick fruit every summer usually work pretty hard.,hire,farmers,teenagers
13,sing,pl,sing,int,ungram,The teenager who the farmers hires to pick fruit every summer usually works pretty hard.,hires,farmers,teenager
13,pl,pl,sing,unint,ungram,The teenagers who the farmers hires to pick fruit every summer usually work pretty hard.,hires,farmers,teenagers
14,sing,sing,sing,int,gram,The goalie who the fan holds the greatest confidence in is reliably calm under pressure.,holds,fan,goalie
14,pl,sing,sing,unint,gram,The goalies who the fan holds the greatest confidence in are reliably calm under pressure.,holds,fan,goalies
14,sing,sing,pl,unint,ungram,The goalie who the fan hold the greatest confidence in is reliably calm under pressure.,hold,fan,goalie
14,pl,sing,pl,int,ungram,The goalies who the fan hold the greatest confidence in are reliably calm under pressure.,hold,fan,goalies
14,sing,pl,pl,unint,gram,The goalie who the fans hold the greatest confidence in is reliably calm under pressure.,hold,fans,goalie
14,pl,pl,pl,int,gram,The goalies who the fans hold the greatest confidence in are reliably calm under pressure.,hold,fans,goalies
14,sing,pl,sing,int,ungram,The goalie who the fans holds the greatest confidence in is reliably calm under pressure.,holds,fans,goalie
14,pl,pl,sing,unint,ungram,The goalies who the fans holds the greatest confidence in are reliably calm under pressure.,holds,fans,goalies
15,sing,sing,sing,int,gram,The quarterback who the recruiter watches from the bleachers every weekend might win a lucrative contract.,watches,recruiter,quarterback
15,pl,sing,sing,unint,gram,The quarterbacks who the recruiter watches from the bleachers every weekend might win a lucrative contract.,watches,recruiter,quarterbacks
15,sing,sing,pl,unint,ungram,The quarterback who the recruiter watch from the bleachers every weekend might win a lucrative contract.,watch,recruiter,quarterback
15,pl,sing,pl,int,ungram,The quarterbacks who the recruiter watch from the bleachers every weekend might win a lucrative contract.,watch,recruiter,quarterbacks
15,sing,pl,pl,unint,gram,The quarterback who the recruiters watch from the bleachers every weekend might win a lucrative contract.,watch,recruiters,quarterback
15,pl,pl,pl,int,gram,The quarterbacks who the recruiters watch from the bleachers every weekend might win a lucrative contract.,watch,recruiters,quarterbacks
15,sing,pl,sing,int,ungram,The quarterback who the recruiters watches from the bleachers every weekend might win a lucrative contract.,watches,recruiters,quarterback
15,pl,pl,sing,unint,ungram,The quarterbacks who the recruiters watches from the bleachers every weekend might win a lucrative contract.,watches,recruiters,quarterbacks
16,sing,sing,sing,int,gram,The publicist who the politician uses during a crisis is expected to do damage control.,uses,politician,publicist
16,pl,sing,sing,unint,gram,The publicists who the politician uses during a crisis are expected to do damage control.,uses,politician,publicists
16,sing,sing,pl,unint,ungram,The publicist who the politician use during a crisis is expected to do damage control.,use,politician,publicist
16,pl,sing,pl,int,ungram,The publicists who the politician use during a crisis are expected to do damage control.,use,politician,publicists
16,sing,pl,pl,unint,gram,The publicist who the politicians use during a crisis is expected to do damage control.,use,politicians,publicist
16,pl,pl,pl,int,gram,The publicists who the politicians use during a crisis are expected to do damage control.,use,politicians,publicists
16,sing,pl,sing,int,ungram,The publicist who the politicians uses during a crisis is expected to do damage control.,uses,politicians,publicist
16,pl,pl,sing,unint,ungram,The publicists who the politicians uses during a crisis are expected to do damage control.,uses,politicians,publicists
17,sing,sing,sing,int,gram,The tenant who the landlord strongly disapproves of stays out late on weekends and never mows his lawn.,disapproves,landlord,tenant
17,pl,sing,sing,unint,gram,The tenants who the landlord strongly disapproves of stay out late on weekends and never mow their lawn.,disapproves,landlord,tenants
17,sing,sing,pl,unint,ungram,The tenant who the landlord strongly disapprove of stays out late on weekends and never mows his lawn.,disapprove,landlord,tenant
17,pl,sing,pl,int,ungram,The tenants who the landlord strongly disapprove of stay out late on weekends and never mow their lawn.,disapprove,landlord,tenants
17,sing,pl,pl,unint,gram,The tenant who the landlords strongly disapprove of stays out late on weekends and never mows his lawn.,disapprove,landlords,tenant
17,pl,pl,pl,int,gram,The tenants who the landlords strongly disapprove of stay out late on weekends and never mow their lawn.,disapprove,landlords,tenants
17,sing,pl,sing,int,ungram,The tenant who the landlords strongly disapproves of stays out late on weekends and never mows his lawn.,disapproves,landlords,tenant
17,pl,pl,sing,unint,ungram,The tenants who the landlords strongly disapproves of stay out late on weekends and never mow their lawn.,disapproves,landlords,tenants
18,sing,sing,sing,int,gram,The skateboarder who the kid admires passionately always signs autographs for fans.,admires,kid,skateboarder
18,pl,sing,sing,unint,gram,The skateboarders who the kid admires passionately always sign autographs for fans.,admires,kid,skateboarders
18,sing,sing,pl,unint,ungram,The skateboarder who the kid admire passionately always signs autographs for fans.,admire,kid,skateboarder
18,pl,sing,pl,int,ungram,The skateboarders who the kid admire passionately always sign autographs for fans.,admire,kid,skateboarders
18,sing,pl,pl,unint,gram,The skateboarder who the kids admire passionately always signs autographs for fans.,admire,kids,skateboarder
18,pl,pl,pl,int,gram,The skateboarders who the kids admire passionately always sign autographs for fans.,admire,kids,skateboarders
18,sing,pl,sing,int,ungram,The skateboarder who the kids admires passionately always signs autographs for fans.,admires,kids,skateboarder
18,pl,pl,sing,unint,ungram,The skateboarders who the kids admires passionately always sign autographs for fans.,admires,kids,skateboarders
19,sing,sing,sing,int,gram,The chef who the gourmet visits regularly always comes up with daring new recipes.,visits,gourmet,chef
19,pl,sing,sing,unint,gram,The chefs who the gourmet visits regularly always come up with daring new recipes.,visits,gourmet,chefs
19,sing,sing,pl,unint,ungram,The chef who the gourmet visit regularly always comes up with daring new recipes.,visit,gourmet,chef
19,pl,sing,pl,int,ungram,The chefs who the gourmet visit regularly always come up with daring new recipes.,visit,gourmet,chefs
19,sing,pl,pl,unint,gram,The chef who the gourmets visit regularly always comes up with daring new recipes.,visit,gourmets,chef
19,pl,pl,pl,int,gram,The chefs who the gourmets visit regularly always come up with daring new recipes.,visit,gourmets,chefs
19,sing,pl,sing,int,ungram,The chef who the gourmets visits regularly always comes up with daring new recipes.,visits,gourmets,chef
19,pl,pl,sing,unint,ungram,The chefs who the gourmets visits regularly always come up with daring new recipes.,visits,gourmets,chefs
20,sing,sing,sing,int,gram,The firefighter who the ranger keeps on hand during the summer months has special training in forest fires.,keeps,ranger,firefighter
20,pl,sing,sing,unint,gram,The firefighters who the ranger keeps on hand during the summer months have special training in forest fires.,keeps,ranger,firefighters
20,sing,sing,pl,unint,ungram,The firefighter who the ranger keep on hand during the summer months has special training in forest fires.,keep,ranger,firefighter
20,pl,sing,pl,int,ungram,The firefighters who the ranger keep on hand during the summer months have special training in forest fires.,keep,ranger,firefighters
20,sing,pl,pl,unint,gram,The firefighter who the rangers keep on hand during the summer months has special training in forest fires.,keep,rangers,firefighter
20,pl,pl,pl,int,gram,The firefighters who the rangers keep on hand during the summer months have special training in forest fires.,keep,rangers,firefighters
20,sing,pl,sing,int,ungram,The firefighter who the rangers keeps on hand during the summer months has special training in forest fires.,keeps,rangers,firefighter
20,pl,pl,sing,unint,ungram,The firefighters who the rangers keeps on hand during the summer months have special training in forest fires.,keeps,rangers,firefighters
21,sing,sing,sing,int,gram,The overseer who the worker distrusts the most has been firing anyone who mentions unions.,distrusts,worker,overseer
21,pl,sing,sing,unint,gram,The overseers who the worker distrusts the most have been firing anyone who mentions unions.,distrusts,worker,overseers
21,sing,sing,pl,unint,ungram,The overseer who the worker distrust the most has been firing anyone who mentions unions.,distrust,worker,overseer
21,pl,sing,pl,int,ungram,The overseers who the worker distrust the most have been firing anyone who mentions unions.,distrust,worker,overseers
21,sing,pl,pl,unint,gram,The overseer who the workers distrust the most has been firing anyone who mentions unions.,distrust,workers,overseer
21,pl,pl,pl,int,gram,The overseers who the workers distrust the most have been firing anyone who mentions unions.,distrust,workers,overseers
21,sing,pl,sing,int,ungram,The overseer who the workers distrusts the most has been firing anyone who mentions unions.,distrusts,workers,overseer
21,pl,pl,sing,unint,ungram,The overseers who the workers distrusts the most have been firing anyone who mentions unions.,distrusts,workers,overseers
22,sing,sing,sing,int,gram,The heiress who the bachelor pursues so relentlessly is clever and won't be easily fooled.,pursues,bachelor,heiress
22,pl,sing,sing,unint,gram,The heiresses who the bachelor pursues so relentlessly are clever and won't be easily fooled.,pursues,bachelor,heiresses
22,sing,sing,pl,unint,ungram,The heiress who the bachelor pursue so relentlessly is clever and won't be easily fooled.,pursue,bachelor,heiress
22,pl,sing,pl,int,ungram,The heiresses who the bachelor pursue so relentlessly are clever and won't be easily fooled.,pursue,bachelor,heiresses
22,sing,pl,pl,unint,gram,The heiress who the bachelors pursue so relentlessly is clever and won't be easily fooled.,pursue,bachelors,heiress
22,pl,pl,pl,int,gram,The heiresses who the bachelors pursue so relentlessly are clever and won't be easily fooled.,pursue,bachelors,heiresses
22,sing,pl,sing,int,ungram,The heiress who the bachelors pursues so relentlessly is clever and won't be easily fooled.,pursues,bachelors,heiress
22,pl,pl,sing,unint,ungram,The heiresses who the bachelors pursues so relentlessly are clever and won't be easily fooled.,pursues,bachelors,heiresses
23,sing,sing,sing,int,gram,The actor who the producer considers the safest bet is the one who has been around for a while.,considers,producer,actor
23,pl,sing,sing,unint,gram,The actors who the producer considers the safest bet are the one who have been around for a while.,considers,producer,actors
23,sing,sing,pl,unint,ungram,The actor who the producer consider the safest bet is the one who has been around for a while.,consider,producer,actor
23,pl,sing,pl,int,ungram,The actors who the producer consider the safest bet are the one who have been around for a while.,consider,producer,actors
23,sing,pl,pl,unint,gram,The actor who the producers consider the safest bet is the one who has been around for a while.,consider,producers,actor
23,pl,pl,pl,int,gram,The actors who the producers consider the safest bet are the one who have been around for a while.,consider,producers,actors
23,sing,pl,sing,int,ungram,The actor who the producers considers the safest bet is the one who has been around for a while.,considers,producers,actor
23,pl,pl,sing,unint,ungram,The actors who the producers considers the safest bet are the one who have been around for a while.,considers,producers,actors
24,sing,sing,sing,int,gram,The accountant who the administrator depends on to balance the books is very well paid.,depends,administrator,accountant
24,pl,sing,sing,unint,gram,The accountants who the administrator depends on to balance the books are very well paid.,depends,administrator,accountants
24,sing,sing,pl,unint,ungram,The accountant who the administrator depend on to balance the books is very well paid.,depend,administrator,accountant
24,pl,sing,pl,int,ungram,The accountants who the administrator depend on to balance the books are very well paid.,depend,administrator,accountants
24,sing,pl,pl,unint,gram,The accountant who the administrators depend on to balance the books is very well paid.,depend,administrators,accountant
24,pl,pl,pl,int,gram,The accountants who the administrators depend on to balance the books are very well paid.,depend,administrators,accountants
24,sing,pl,sing,int,ungram,The accountant who the administrators depends on to balance the books is very well paid.,depends,administrators,accountant
24,pl,pl,sing,unint,ungram,The accountants who the administrators depends on to balance the books are very well paid.,depends,administrators,accountants
25,sing,sing,sing,int,gram,The orphan who the nun tutors in algebra lost his parents in the ongoing civil war.,tutors,nun,orphan
25,pl,sing,sing,unint,gram,The orphans who the nun tutors in algebra lost their parents in the ongoing civil war.,tutors,nun,orphans
25,sing,sing,pl,unint,ungram,The orphan who the nun tutor in algebra lost his parents in the ongoing civil war.,tutor,nun,orphan
25,pl,sing,pl,int,ungram,The orphans who the nun tutor in algebra lost their parents in the ongoing civil war.,tutor,nun,orphans
25,sing,pl,pl,unint,gram,The orphan who the nuns tutor in algebra lost his parents in the ongoing civil war.,tutor,nuns,orphan
25,pl,pl,pl,int,gram,The orphans who the nuns tutor in algebra lost their parents in the ongoing civil war.,tutor,nuns,orphans
25,sing,pl,sing,int,ungram,The orphan who the nuns tutors in algebra lost his parents in the ongoing civil war.,tutors,nuns,orphan
25,pl,pl,sing,unint,ungram,The orphans who the nuns tutors in algebra lost their parents in the ongoing civil war.,tutors,nuns,orphans
26,sing,sing,sing,int,gram,The translator who the diplomat needs for communication was trying furiously to facilitate peace talks.,needs,diplomat,translator
26,pl,sing,sing,unint,gram,The translators who the diplomat needs for communication were trying furiously to facilitate peace talks.,needs,diplomat,translators
26,sing,sing,pl,unint,ungram,The translator who the diplomat need for communication was trying furiously to facilitate peace talks.,need,diplomat,translator
26,pl,sing,pl,int,ungram,The translators who the diplomat need for communication were trying furiously to facilitate peace talks.,need,diplomat,translators
26,sing,pl,pl,unint,gram,The translator who the diplomats need for communication was trying furiously to facilitate peace talks.,need,diplomats,translator
26,pl,pl,pl,int,gram,The translators who the diplomats need for communication were trying furiously to facilitate peace talks.,need,diplomats,translators
26,sing,pl,sing,int,ungram,The translator who the diplomats needs for communication was trying furiously to facilitate peace talks.,needs,diplomats,translator
26,pl,pl,sing,unint,ungram,The translators who the diplomats needs for communication were trying furiously to facilitate peace talks.,needs,diplomats,translators
27,sing,sing,sing,int,gram,The dancer who the host applauds so frequently has been performing since she was a young girls in Ecuador.,applauds,host,dancer
27,pl,sing,sing,unint,gram,The dancers who the host applauds so frequently have been performing since they were young girls in Ecuador.,applauds,host,dancers
27,sing,sing,pl,unint,ungram,The dancer who the host applaud so frequently has been performing since she was a young girls in Ecuador.,applaud,host,dancer
27,pl,sing,pl,int,ungram,The dancers who the host applaud so frequently have been performing since they were young girls in Ecuador.,applaud,host,dancers
27,sing,pl,pl,unint,gram,The dancer who the hosts applaud so frequently has been performing since she was a young girls in Ecuador.,applaud,hosts,dancer
27,pl,pl,pl,int,gram,The dancers who the hosts applaud so frequently have been performing since they were young girls in Ecuador.,applaud,hosts,dancers
27,sing,pl,sing,int,ungram,The dancer who the hosts applauds so frequently has been performing since she was a young girls in Ecuador.,applauds,hosts,dancer
27,pl,pl,sing,unint,ungram,The dancers who the hosts applauds so frequently have been performing since they were young girls in Ecuador.,applauds,hosts,dancers
28,sing,sing,sing,int,gram,The supervisor who the counselor reports to directly is supposed to provide advice and support.,reports,counselor,supervisor
28,pl,sing,sing,unint,gram,The supervisors who the counselor reports to directly are supposed to provide advice and support.,reports,counselor,supervisors
28,sing,sing,pl,unint,ungram,The supervisor who the counselor report to directly is supposed to provide advice and support.,report,counselor,supervisor
28,pl,sing,pl,int,ungram,The supervisors who the counselor report to directly are supposed to provide advice and support.,report,counselor,supervisors
28,sing,pl,pl,unint,gram,The supervisor who the counselors report to directly is supposed to provide advice and support.,report,counselors,supervisor
28,pl,pl,pl,int,gram,The supervisors who the counselors report to directly are supposed to provide advice and support.,report,counselors,supervisors
28,sing,pl,sing,int,ungram,The supervisor who the counselors reports to directly is supposed to provide advice and support.,reports,counselors,supervisor
28,pl,pl,sing,unint,ungram,The supervisors who the counselors reports to directly are supposed to provide advice and support.,reports,counselors,supervisors
29,sing,sing,sing,int,gram,The commentator who the viewer trusts the most has a very slick hairstyle.,trusts,viewer,commentator
29,pl,sing,sing,unint,gram,The commentators who the viewer trusts the most have a very slick hairstyle.,trusts,viewer,commentators
29,sing,sing,pl,unint,ungram,The commentator who the viewer trust the most has a very slick hairstyle.,trust,viewer,commentator
29,pl,sing,pl,int,ungram,The commentators who the viewer trust the most have a very slick hairstyle.,trust,viewer,commentators
29,sing,pl,pl,unint,gram,The commentator who the viewers trust the most has a very slick hairstyle.,trust,viewers,commentator
29,pl,pl,pl,int,gram,The commentators who the viewers trust the most have a very slick hairstyle.,trust,viewers,commentators
29,sing,pl,sing,int,ungram,The commentator who the viewers trusts the most has a very slick hairstyle.,trusts,viewers,commentator
29,pl,pl,sing,unint,ungram,The commentators who the viewers trusts the most have a very slick hairstyle.,trusts,viewers,commentators
30,sing,sing,sing,int,gram,The journalist who the editor appreciates the most always turns her stories in promptly.,appreciates,editor,journalist
30,pl,sing,sing,unint,gram,The journalists who the editor appreciates the most always turn her stories in promptly.,appreciates,editor,journalists
30,sing,sing,pl,unint,ungram,The journalist who the editor appreciate the most always turns her stories in promptly.,appreciate,editor,journalist
30,pl,sing,pl,int,ungram,The journalists who the editor appreciate the most always turn her stories in promptly.,appreciate,editor,journalists
30,sing,pl,pl,unint,gram,The journalist who the editors appreciate the most always turns her stories in promptly.,appreciate,editors,journalist
30,pl,pl,pl,int,gram,The journalists who the editors appreciate the most always turn her stories in promptly.,appreciate,editors,journalists
30,sing,pl,sing,int,ungram,The journalist who the editors appreciates the most always turns her stories in promptly.,appreciates,editors,journalist
30,pl,pl,sing,unint,ungram,The journalists who the editors appreciates the most always turn her stories in promptly.,appreciates,editors,journalists
31,sing,sing,sing,int,gram,The customer who the waitress hates the most is the one who complains about everything and leaves a lousy tip.,hates,waitress,customer
31,pl,sing,sing,unint,gram,The customers who the waitress hates the most are the ones who complain about everything and leave a lousy tip.,hates,waitress,customers
31,sing,sing,pl,unint,ungram,The customer who the waitress hate the most is the one who complains about everything and leaves a lousy tip.,hate,waitress,customer
31,pl,sing,pl,int,ungram,The customers who the waitress hate the most are the ones who complain about everything and leave a lousy tip.,hate,waitress,customers
31,sing,pl,pl,unint,gram,The customer who the waitresses hate the most is the one who complains about everything and leaves a lousy tip.,hate,waitresses,customer
31,pl,pl,pl,int,gram,The customers who the waitresses hate the most are the ones who complain about everything and leave a lousy tip.,hate,waitresses,customers
