id,distractor,verb,interference,grammaticality,sentence,crit,target,attractor
20,pl,pl,int,ungram,The bridge to the islands were about ten miles off the main highway.,were,bridge,islands
21,sing,sing,int,gram,The gift from the visitor was a beautiful clock from Germany.,was,gift,visitor
21,pl,sing,unint,gram,The gift from the visitors was a beautiful clock from Germany.,was,gift,visitors
21,sing,pl,unint,ungram,The gift from the visitor were a beautiful clock from Germany.,were,gift,visitor
21,pl,pl,int,ungram,The gift from the visitors were a beautiful clock from Germany.,were,gift,visitors
22,sing,sing,int,gram,The path to the monument was lined with lovely trees and flowers.,was,path,monument
22,pl,sing,unint,gram,The path to the monuments was lined with lovely trees and flowers.,was,path,monuments
22,sing,pl,unint,ungram,The path to the monument were lined with lovely trees and flowers.,were,path,monument
22,pl,pl,int,ungram,The path to the monuments were lined with lovely trees and flowers.,were,path,monuments
23,sing,sing,int,gram,The message from the engineer was about the recent weakening to the building's structural supports.,was,message,engineer
23,pl,sing,unint,gram,The message from the engineers was about the recent weakening to the building's structural supports.,was,message,engineers
23,sing,pl,unint,ungram,The message from the engineer were about the recent weakening to the building's structural supports.,were,message,engineer
23,pl,pl,int,ungram,The message from the engineers were about the recent weakening to the building's structural supports.,were,message,engineers
24,sing,sing,int,gram,The gate to the pasture was falling down due to disrepair.,was,gate,pasture
24,pl,sing,unint,gram,The gate to the pastures was falling down due to disrepair.,was,gate,pastures
24,sing,pl,unint,ungram,The gate to the pasture were falling down due to disrepair.,were,gate,pasture
24,pl,pl,int,ungram,The gate to the pastures were falling down due to disrepair.,were,gate,pastures
