id,distractor,subject,grammaticality,interference,sentence,crit,target,attractor
29,sing,sing,ungram,unint,The successful businessman who scolded the teenage bellhop allegedly were angry with the hotel management.,were,businessman,bellhop
29,pl,sing,ungram,int,The successful businessman who scolded the teenage bellhops allegedly were angry with the hotel management.,were,businessman,bellhops
30,sing,sing,gram,int,The police officer who aided the brilliant detective reportedly was suspicious of the victim's brother.,was,officer,detective
30,pl,sing,gram,unint,The police officer who aided the brilliant detectives reportedly was suspicious of the victim's brother.,was,officer,detectives
30,sing,sing,ungram,unint,The police officer who aided the brilliant detective reportedly were suspicious of the victim's brother.,were,officer,detective
30,pl,sing,ungram,int,The police officer who aided the brilliant detectives reportedly were suspicious of the victim's brother.,were,officer,detectives
31,sing,sing,gram,int,The old rancher who listened to the dishonest salesman unsurprisingly was skeptical about buying more insurance.,was,rancher,salesman
31,pl,sing,gram,unint,The old rancher who listened to the dishonest salesmen unsurprisingly was skeptical about buying more insurance.,was,rancher,salesmen
31,sing,sing,ungram,unint,The old rancher who listened to the dishonest salesman unsurprisingly were skeptical about buying more insurance.,were,rancher,salesman
31,pl,sing,ungram,int,The old rancher who listened to the dishonest salesmen unsurprisingly were skeptical about buying more insurance.,were,rancher,salesmen
32,sing,sing,gram,int,The meek boxer who trained with the persistent coach shockingly was brutal in the boxing ring.,was,boxer,coach
32,pl,sing,gram,unint,The meek boxer who trained with the persistent coaches shockingly was brutal in the boxing ring.,was,boxer,coaches
32,sing,sing,ungram,unint,The meek boxer who trained with the persistent coach shockingly were brutal in the boxing ring.,were,boxer,coach
32,pl,sing,ungram,int,The meek boxer who trained with the persistent coaches shockingly were brutal in the boxing ring.,were,boxer,coaches
33,sing,sing,gram,int,The amateur bodybuilder who worked with the personal trainer amazingly was competitive for the gold medal.,was,bodybuilder,trainer
33,pl,sing,gram,unint,The amateur bodybuilder who worked with the personal trainers amazingly was competitive for the gold medal.,was,bodybuilder,trainers
33,sing,sing,ungram,unint,The amateur bodybuilder who worked with the personal trainer amazingly were competitive for the gold medal.,were,bodybuilder,trainer
33,pl,sing,ungram,int,The amateur bodybuilder who worked with the personal trainers amazingly were competitive for the gold medal.,were,bodybuilder,trainers
34,sing,sing,gram,int,The basketball coach who trained the star player usually was nervous at the important games.,was,coach,player
34,pl,sing,gram,unint,The basketball coach who trained the star players usually was nervous at the important games.,was,coach,players
34,sing,sing,ungram,unint,The basketball coach who trained the star player usually were nervous at the important games.,were,coach,player
34,pl,sing,ungram,int,The basketball coach who trained the star players usually were nervous at the important games.,were,coach,players
35,sing,sing,gram,int,The young caddy who escorted the experienced golfer supposedly was helpful around the country club.,was,caddy,golfer
35,pl,sing,gram,unint,The young caddy who escorted the experienced golfers supposedly was helpful around the country club.,was,caddy,golfers
35,sing,sing,ungram,unint,The young caddy who escorted the experienced golfer supposedly were helpful around the country club.,were,caddy,golfer
35,pl,sing,ungram,int,The young caddy who escorted the experienced golfers supposedly were helpful around the country club.,were,caddy,golfers
36,sing,sing,gram,int,The construction worker who argued with the shift leader undeniably was disgruntled about being harshly disciplined.,was,worker,leader
36,pl,sing,gram,unint,The construction worker who argued with the shift leaders undeniably was disgruntled about being harshly disciplined.,was,worker,leaders
36,sing,sing,ungram,unint,The construction worker who argued with the shift leader undeniably were disgruntled about being harshly disciplined.,were,worker,leader
36,pl,sing,ungram,int,The construction worker who argued with the shift leaders undeniably were disgruntled about being harshly disciplined.,were,worker,leaders
37,sing,sing,gram,int,The grimy blacksmith who worked for the royal knight evidently was unaware of basic forging techniques.,was,blacksmith,knight
37,pl,sing,gram,unint,The grimy blacksmith who worked for the royal knights evidently was unaware of basic forging techniques.,was,blacksmith,knights
37,sing,sing,ungram,unint,The grimy blacksmith who worked for the royal knight evidently were unaware of basic forging techniques.,were,blacksmith,knight
37,pl,sing,ungram,int,The grimy blacksmith who worked for the royal knights evidently were unaware of basic forging techniques.,were,blacksmith,knights
38,sing,sing,gram,int,The paranoid foreman who supervised the coal miner presumably was worried about dangerous working conditions.,was,foreman,miner
38,pl,sing,gram,unint,The paranoid foreman who supervised the coal miners presumably was worried about dangerous working conditions.,was,foreman,miners
38,sing,sing,ungram,unint,The paranoid foreman who supervised the coal miner presumably were worried about dangerous working conditions.,were,foreman,miner
38,pl,sing,ungram,int,The paranoid foreman who supervised the coal miners presumably were worried about dangerous working conditions.,were,foreman,miners
39,sing,sing,gram,int,The serious general who advised the new corporal seemingly was unhappy with the training regimen.,was,general,corporal
39,pl,sing,gram,unint,The serious general who advised the new corporals seemingly was unhappy with the training regimen.,was,general,corporals
39,sing,sing,ungram,unint,The serious general who advised the new corporal seemingly were unhappy with the training regimen.,were,general,corporal
39,pl,sing,ungram,int,The serious general who advised the new corporals seemingly were unhappy with the training regimen.,were,general,corporals
40,sing,sing,gram,int,The new executive who oversaw the middle manager apparently was dishonest about the company's profits.,was,executive,manager
40,pl,sing,gram,unint,The new executive who oversaw the middle managers apparently was dishonest about the company's profits.,was,executive,managers
40,sing,sing,ungram,unint,The new executive who oversaw the middle manager apparently were dishonest about the company's profits.,were,executive,manager
40,pl,sing,ungram,int,The new executive who oversaw the middle managers apparently were dishonest about the company's profits.,were,executive,managers
41,sing,sing,gram,int,The popular sheriff who campaigned for the incumbent politician never was concerned with preventing violent crime.,was,sheriff,politician
41,pl,sing,gram,unint,The popular sheriff who campaigned for the incumbent politicians never was concerned with preventing violent crime.,was,sheriff,politicians
41,sing,sing,ungram,unint,The popular sheriff who campaigned for the incumbent politician never were concerned with preventing violent crime.,were,sheriff,politician
41,pl,sing,ungram,int,The popular sheriff who campaigned for the incumbent politicians never were concerned with preventing violent crime.,were,sheriff,politicians
42,sing,sing,gram,int,The somber minister who conversed with the religious scholar usually was tempted to discuss controversial issues.,was,minister,scholar
42,pl,sing,gram,unint,The somber minister who conversed with the religious scholars usually was tempted to discuss controversial issues.,was,minister,scholars
42,sing,sing,ungram,unint,The somber minister who conversed with the religious scholar usually were tempted to discuss controversial issues.,were,minister,scholar
42,pl,sing,ungram,int,The somber minister who conversed with the religious scholars usually were tempted to discuss controversial issues.,were,minister,scholars
43,sing,sing,gram,int,The rich CEO who employed the expensive chauffeur typically was unwilling to take the scenic route.,was,CEO,chauffeur
43,pl,sing,gram,unint,The rich CEO who employed the expensive chauffeurs typically was unwilling to take the scenic route.,was,CEO,chauffeurs
43,sing,sing,ungram,unint,The rich CEO who employed the expensive chauffeur typically were unwilling to take the scenic route.,were,CEO,chauffeur
43,pl,sing,ungram,int,The rich CEO who employed the expensive chauffeurs typically were unwilling to take the scenic route.,were,CEO,chauffeurs
44,sing,sing,gram,int,The handy plumber who helped the absentminded homeowner probably was watchful for any leaky joints.,was,plumber,homeowner
44,pl,sing,gram,unint,The handy plumber who helped the absentminded homeowners probably was watchful for any leaky joints.,was,plumber,homeowners
44,sing,sing,ungram,unint,The handy plumber who helped the absentminded homeowner probably were watchful for any leaky joints.,were,plumber,homeowner
44,pl,sing,ungram,int,The handy plumber who helped the absentminded homeowners probably were watchful for any leaky joints.,were,plumber,homeowners
45,sing,sing,gram,int,The elderly doctor who treated the tough soldier usually was reluctant to prescribe pain medication.,was,doctor,soldier
45,pl,sing,gram,unint,The elderly doctor who treated the tough soldiers usually was reluctant to prescribe pain medication.,was,doctor,soldiers
45,sing,sing,ungram,unint,The elderly doctor who treated the tough soldier usually were reluctant to prescribe pain medication.,were,doctor,soldier
45,pl,sing,ungram,int,The elderly doctor who treated the tough soldiers usually were reluctant to prescribe pain medication.,were,doctor,soldiers
46,sing,sing,gram,int,The football referee who argued with the large quarterback surprisingly was unwilling to change the decision.,was,referee,quarterback
46,pl,sing,gram,unint,The football referee who argued with the large quarterbacks surprisingly was unwilling to change the decision.,was,referee,quarterbacks
46,sing,sing,ungram,unint,The football referee who argued with the large quarterback surprisingly were unwilling to change the decision.,were,referee,quarterback
46,pl,sing,ungram,int,The football referee who argued with the large quarterbacks surprisingly were unwilling to change the decision.,were,referee,quarterbacks
47,sing,sing,gram,int,The rough woodsman who helped the tired hiker evidently was annoyed with the environmental activists.,was,woodsman,hiker
47,pl,sing,gram,unint,The rough woodsman who helped the tired hikers evidently was annoyed with the environmental activists.,was,woodsman,hikers
47,sing,sing,ungram,unint,The rough woodsman who helped the tired hiker evidently were annoyed with the environmental activists.,were,woodsman,hiker
47,pl,sing,ungram,int,The rough woodsman who helped the tired hikers evidently were annoyed with the environmental activists.,were,woodsman,hikers
48,sing,sing,gram,int,The slick politician who avoided the persistent journalist reportedly was hypocritical in condemning the lobbyists.,was,politician,journalist
48,pl,sing,gram,unint,The slick politician who avoided the persistent journalists reportedly was hypocritical in condemning the lobbyists.,was,politician,journalists
48,sing,sing,ungram,unint,The slick politician who avoided the persistent journalist reportedly were hypocritical in condemning the lobbyists.,were,politician,journalist
48,pl,sing,ungram,int,The slick politician who avoided the persistent journalists reportedly were hypocritical in condemning the lobbyists.,were,politician,journalists
